TIER	NAME	LINK	DESCRIPTION
great	Please Don't Let Me Die in Buffalo	https://www.rochesterfringe.com/tickets-and-shows/please-dont-let-me-die-in-buffalo	2024-09-21
good	The Rise and Fall of a Midwest Princess	https://en.wikipedia.org/wiki/The_Rise_and_Fall_of_a_Midwest_Princess	2024-09-12
great	Band of Brothers	https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries)	2024-08-12
good	The Holdovers	https://en.wikipedia.org/wiki/The_Holdovers	2024-07-04
good	Ada and the Engine	https://www.rit.edu/performingarts/ada-and-engine	2024-04-06
great	Spamalot	https://en.wikipedia.org/wiki/Spamalot	2023-02-24
good	Chicago	https://en.wikipedia.org/wiki/Chicago_(musical)	2023-02-24
great	Snuff Out the Light (Yzma&apos;s Song)	https://www.youtube.com/watch?v=L_hJxBUMuss	2024-01-25
good	Carmen	https://en.wikipedia.org/wiki/Carmen	2023-12-31
good	Sweeney Todd	https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street	2023-12-29
good	WarioWare, Inc.: Mega Microgame$!	https://en.wikipedia.org/wiki/WarioWare%2C_Inc.%3A_Mega_Microgames!	2023-12-19
good	Super Mario Land	https://en.wikipedia.org/wiki/Super_Mario_Land	2023-12-03
good	RIT Players' 2023 production of <i>Pippin</i>	https://archive.is/Gx356	2023-11-19
great	VVVVVV	https://en.wikipedia.org/wiki/Vvvvvv	2023-10-07 + 10 secs on super gravitron let's go
great	35mm: A Musical Exhibition	https://rochesterfringe.com/tickets-and-shows/35mm-a-musical-exhibition	2023-09-15
good	Catan	https://en.wikipedia.org/wiki/Catan	2023-07-28
good	Barbie	https://en.wikipedia.org/wiki/Barbie_(film)	2023-07-22
good	Howl's Moving Castle	https://en.wikipedia.org/wiki/Howl%27s_Moving_Castle_(film)	2023-07-14
great	Celeste	https://en.wikipedia.org/wiki/Celeste_(game)	2023-07-11
good	The Buffalo Shoreline Trail	https://empiretrail.ny.gov/buffalo-rochester/buffalo-tonawanda	2023-07-04
good	Community	https://en.wikipedia.org/wiki/Community_(TV_series)	2023-05-20
good	The Lorax	https://en.wikipedia.org/wiki/The_Lorax_(film)	2023-05-12
good	Puss in Boots	https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film)	2023-04-23
good	Lilo & Stitch	https://en.wikipedia.org/wiki/Lilo_and_stitch	2023-04-19
good	The Super Mario Bros. Movie	https://en.wikipedia.org/wiki/The_Super_Mario_Bros._Movie	2023-04-05, 12:01am
good	RIT Performing Arts' 2023 production of <i>Ordinary Days</i>	https://web.archive.org/web/20230403184922/https://www.rit.edu/performingarts/ordinary-days	2023-04-02
outstanding	Everything Everywhere All at Once	https://en.wikipedia.org/wiki/Everything_Everywhere_All_At_Once	2023-03-16
good	The Second City Toronto's 87th Mainstage Revue, Skyline's The Limit	https://www.secondcity.com/shows/toronto/the-second-city-mainstage-87th-revue/	2023-03-15. But frankly, the improv they did at the very end was funnier than anything in the actual show.
good	Puss in Boots: The Last Wish	https://en.wikipedia.org/wiki/Puss_in_Boots_The_Last_Wish	2023-03-13
good	Glass Onion	https://en.wikipedia.org/wiki/Glass_Onion:_A_Knives_Out_Mystery	2023-03-04
good	House	https://en.wikipedia.org/wiki/House_(1977_film)	2023-02-04
good	The Bad Guys	https://en.wikipedia.org/wiki/The_Bad_Guys_(film)	2023-01-17
good	New York City	https://en.wikipedia.org/wiki/New_York_City	2023-01-09
good	2022	https://smlavine.com/blog/2022	2023-01-01
good	goodmoviefilm.com	https://goodmoviefilm.com	2022-12-31. one year \o/
good	Christmas	https://en.wikipedia.org/wiki/Christmas	2022-12-25
good	Jungle Cruise	https://en.wikipedia.org/wiki/Jungle_Cruise_(film)	2022-12-23
good	Elf	https://en.wikipedia.org/wiki/Elf_(film)	2022-12-08
good	Harry Potter and the Deathly Hallows – Part 2	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_–_Part_2	2022-12-06
good	Die in the Dungeon	https://alarts.itch.io/die-in-the-dungeon	2022-12-01
good	Harry Potter and the Deathly Hallows – Part 1	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_–_Part_1	2022-11-27
good	Harry Potter and the Half-Blood Prince	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film)	2022-11-26
great	Disney Channel's Theme: A History Mystery	https://www.youtube.com/watch?v=b_rjBWmc1iQ	2022-11-21
good	RIT Players' 2022 production of <i>Something Rotten!</i>	https://web.archive.org/web/20221119153826/https://campusgroups.rit.edu/ritplayers/mammamia/	2022-11-18
good	Meliora	https://en.wikipedia.org/wiki/Meliora_(album)	2022-11-16
good	Prequelle	https://en.wikipedia.org/wiki/Prequelle	2022-11-14
good	IMPERA	https://en.wikipedia.org/wiki/Impera	2022-11-13
good	Marvin's Marvelous Mechanical Museum	https://en.wikipedia.org/wiki/Marvin's_Marvelous_Mechanical_Museum_(album)	2022-10-25
good	Dark Red	https://en.wikipedia.org/wiki/Steve_Lacy's_Demo	2022-10-24
good	Harry Potter and the Order of the Phoenix	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_(film)	2022-10-23
good	The Princess and the Frog	https://en.wikipedia.org/wiki/The_Princess_and_the_Frog	2022-10-11
good	Harry Potter and the Goblet of Fire	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Goblet_of_Fire_(film)	2022-09-16
great	Harry Potter and the Prisoner of Azkaban	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film)	2022-09-14
good	Harry Potter and the Chamber of Secrets	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(film)	2022-09-09
good	Harry Potter and the Sorcerer's Stone	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone_(film)	2022-09-05
good	Jaws	https://en.wikipedia.org/wiki/Jaws_(film)	2022-09-05
good	Coco	https://en.wikipedia.org/wiki/Coco_(2017_film)	2022-09-04
good	Cars 3	https://en.wikipedia.org/wiki/Cars_3	2022-09-04
good	Cars 2	https://en.wikipedia.org/wiki/Cars_2	2022-09-03
good	Cars	https://en.wikipedia.org/wiki/Cars_(film)	2022-09-02
good	Over the Hedge	https://en.wikipedia.org/wiki/Over_the_Hedge_(film)	2022-08-16
good	Team Fortress 2	https://en.wikipedia.org/wiki/Team_Fortress_2	2022-06-26 but also most of the last 8 years
great	Donating to Planned Parenthood	https://www.plannedparenthood.org/get-involved/other-ways-give	2022-06-24
good	The Wall	https://en.wikipedia.org/wiki/The_Wall	2022-06-11
good	Abbey Road	https://en.wikipedia.org/wiki/Abbey_Road	2022-05-14
good	Rome	https://en.wikipedia.org/wiki/Rome_(TV_series)	2022-05-08
good	Cycling	https://en.wikipedia.org/wiki/Cycling	2022-05-07
good	Doctor Strange in the Multiverse of Madness	https://en.wikipedia.org/wiki/Doctor_Strange_in_the_Multiverse_of_Madness	2022-05-05
good	Deadpool	https://en.wikipedia.org/wiki/Deadpool_(film)	2022-04-29
good	The Dark Side of the Moon	https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon	2022-04-24
good	Spider-Man: No Way Home	https://en.wikipedia.org/wiki/Spider-Man:_No_Way_Home	2022-04-23
good	Big Fish	https://en.wikipedia.org/wiki/Big_Fish_(musical)	2022-03-13, 2022-04-10
good	tick, tick... BOOM!	https://en.wikipedia.org/wiki/Tick,_Tick..._Boom!_(film)	2022-02-13
good	WSHS's 2022 rendition of <i>Seussical</i>	https://www.amherstbee.com/articles/williamsville-south-to-present-seussical-the-musical/	2022-02-12
good	Racquetball	https://en.wikipedia.org/wiki/Racquetball	2022-02-09. Seriously, exercise is good for you! It makes you feel great. Try it.
good	Kirby's Epic Yarn	https://en.wikipedia.org/wiki/Kirby%27s_Epic_Yarn	2022-01-31
good	Mario Kart Wii	https://en.wikipedia.org/wiki/Mario_Kart_Wii	2022-01-19
good	Revolver	https://en.wikipedia.org/wiki/Revolver_(Beatles_album)	2022-01-14
good	Encanto	https://en.wikipedia.org/wiki/Encanto_(film)	2021-12-31
